Name,Price,Quantity,Unit
Pack Hot Dog S. SUIZA Paquete 600,13.49,600,g
Pack Mixto Queso Edam + Jamón Americano LAIVE Paquete 300,9.80,300,g
Queso Edam LAIVE Paquete 440,21.90,440,g
Queso Crema PHILADELPHIA Brick Original Paquete 180,10.80,180,g
Queso Fresco BONLÉ,31.90,1,un
Queso Fresco SBELT,34.50,1,un
Queso Fresco sin Lactosa LAIVE,35.90,1,un
Jamón de Pavita BRAEDT Balance Paquete 200,8.00,200,g
Pack Jamón Pizza BRAEDT Queso Edam Paquete 370,12.60,370,g
Queso Fresco BELL'S Paquete 300g PVEA,8.90,1,un
Queso Edam LAIVE Sin Lactosa Paquete 180,11.90,180,g
Hot Dog SALCHICHERÍA SUIZA Paquete 200,6.30,200,g
Jamón Pizzero BRAEDT Paquete 480,10.32,480,g
Queso Mozzarella para Pizza BELL'S SELECCIÓN Bolsa 250,10.90,250,g
Queso Edam BRAEDT Paquete 440,22.50,440,g
Queso Fundido BONLÉ Sabor Cheddar Paquete 136,6.50,136,g
Queso Gouda BRAEDT Paquete 180,11.90,180,g
Queso Edam BRAEDT Paquete 180,11.90,180,g
Queso Fresco GLORIA Paquete 250,37.90,250,g
Pack Hot Dog BRAEDT Paquete 600,9.52,600,g
